"meta","ava_cyr","ava_cauc","ava_ipa"
"šː","щ","šː","ʃː"
"Šː","Щ","šː","ʃː"
"š","ш","š","ʃ"
"Š","Ш","š","ʃ"
"Ƙٯ","кӏкӏ","kʼː","kʼː"
"Ƙٯ","Кӏкӏ","kʼː","kʼː"
"ƙʼ","кӏ","kʼ","kʼ"
"Ƙʼ","Кӏ","kʼ","kʼ"
"ƙː","кк","kː","kː"
"Ƙː","Кк","kː","kː"
"ƙ","к","kʰ","kʰ"
"Ƙ","К","kʰ","kʰ"
"łː","лълъ","ɬː","ɬː"
"Łː","Лълъ","ɬː","ɬː"
"cٯ","цӏцӏ","cʼː","t͡sʼː"
"Cٯ","Цӏцӏ","cʼː","t͡sʼː"
"čٯ","чӏчӏ","čʼː","t͡ʃʼː"
"Čٯ","Чӏчӏ","čʼː","t͡ʃʼː"
"ğ","гъ","ʁ","ʁ"
"Ğ","Гъ","ʁ","ʁ"
"h","гь","h","h"
"H","Гь","h","h"
"ḣ","гӏ","ʕ","ʕ"
"Ḣ","Гӏ","ʕ","ʕ"
"qʼ","къ","qʼ","qʼ"
"Qʼ","Къ","qʼ","qʼ"
"ḷʼ","кь","ƛʼ","t͡ɬʼ"
"Ḷʼ","Кь","ƛʼ","t͡ɬʼ"
"ḷ","лӏ","ƛ","t͡ɬ"
"Ḷ","Лӏ","ƛ","t͡ɬ"
"ł","лъ","ɬ","ɬ"
"Ł","Лъ","ɬ","ɬ"
"pʼ","пӏ","pʼ","pʼ"
"Pʼ","Пӏ","pʼ","pʼ"
"تʼ","тӏ","tʼ","tʼ"
"طʼ","Тӏ","tʼ","tʼ"
"ẍː","хх","χː","χː"
"Ẍː","Хх","χː","χː"
"q","хъ","q","q"
"Q","Хъ","q","q"
"ẋ","хь","x","x"
"Ẋ","Хь","x","x"
"ħ","хӏ","ħ","ħ"
"Ħ","Хӏ","ħ","ħ"
"cː","цц","cː","t͡sːʰ"
"Cː","Цц","cː","t͡sːʰ"
"cʼ","цӏ","cʼ","t͡sʼ"
"Cʼ","Цӏ","cʼ","t͡sʼ"
"c","ц","c","t͡sʰ"
"C","Ц","c","t͡sʰ"
"čː","чч","čː","t͡ʃːʰ"
"Čː","Чч","čː","t͡ʃːʰ"
"čʼ","чӏ","čʼ","t͡ʃʼ"
"Čʼ","Чӏ","čʼ","t͡ʃʼ"
"č","ч","č","t͡ʃʰ"
"Č","Ч","č","t͡ʃʰ"
"ё","е","je","je"
"Ё","Е","je","je"
"e","е","e","e"
"E","Е","e","e"
"a","а","a","a"
"A","А","a","a"
"b","б","b","b"
"B","Б","b","b"
"v","в","w","w"
"V","В","w","w"
"g","г","g","g"
"G","Г","g","g"
"d","д","d","d"
"D","Д","d","d"
"ž","ж","ž","ʒ"
"Ž","Ж","ž","ʒ"
"z","з","z","z"
"Z","З","z","z"
"i","и","i","i"
"I","И","i","i"
"j","й","j","j"
"J","Й","j","j"
"l","л","l","l"
"L","Л","l","l"
"m","м","m","m"
"M","М","m","m"
"n","н","n","n"
"N","Н","n","n"
"o","о","o","o"
"O","О","o","o"
"p","п","pʰ","pʰ"
"P","П","pʰ","pʰ"
"r","р","r","r"
"R","Р","r","r"
"س","с","s","s"
"ص","С","s","s"
"ت","т","tʰ","tʰ"
"ط","Т","tʰ","tʰ"
"u","у","u","u"
"U","У","u","u"
"f","ф","f","f"
"F","Ф","f","f"
"ẍ","х","χ","χ"
"Ẍ","Х","χ","χ"
"ɂ","ъ","ʔ","ʔ"
"Ɂ","Ъ","ʔ","ʔ"
"ю","ю","ju","ju"
"Ю","Ю","ju","ju"
"я","я","ja","ja"
"Я","Я","ja","ja"
"э","э","e","e"
"Э","Э","e","e"
"ʷ","в","ʷ","ʷ"
